id	Code	IP	Cart_id	Goods_id	Amount
1	[98XEI842]	0.231.176.149	8854	24	1
2	[D6BN15GW]	0.231.176.149	9150	23	1
3	[N2JH2KHL]	0.231.176.149	9150	18	1
4	[GKR98JGB]	0.231.176.149	9150	15	2
5	[SJU0AYFI]	1.21.45.176	9569	13	3
6	[S9NHZ4K0]	1.21.45.176	9569	21	2
7	[GIZXJLXK]	1.21.45.176	9569	5	3
8	[UI1GPJKO]	1.220.151.1	8658	22	1
9	[J3JU0U8C]	1.25.185.103	9746	21	2
10	[BFWDZ1WP]	10.101.8.110	9544	1	2
11	[XBBMLEO3]	10.101.8.110	9544	16	1
12	[RJZD3GSB]	10.101.8.110	9717	20	1
13	[ZDIHY93Z]	10.131.244.194	9619	1	1
14	[LPB35S14]	10.181.230.218	9432	3	1
15	[VC6DL3S5]	10.181.230.218	9432	17	1
16	[NC02U9IR]	10.181.230.218	9432	10	1
17	[WK1ZMRWX]	10.20.210.221	9599	19	5
18	[HY4ABG5G]	100.100.169.136	9019	14	4
19	[RH5D8JUX]	100.241.146.53	9584	6	2
20	[FRJ7L8YO]	100.241.146.53	9584	16	2
21	[O0A1TUTI]	100.25.236.243	9547	21	1
22	[QQ9C6FFK]	100.33.234.34	9468	10	2
23	[LPKLFOMY]	100.81.147.171	8968	12	1
24	[USWZ3K9M]	101.137.251.247	9267	23	4
25	[WA5A9B98]	101.155.109.110	9122	16	1
26	[EMA4365H]	101.238.245.186	9030	12	2
27	[CSZF8NG7]	101.238.245.186	9030	20	2
28	[XPD3BA40]	101.238.245.186	9030	17	1
29	[0P3MDSI3]	101.29.75.244	8923	17	2
30	[RMXV7SD7]	102.125.143.214	8812	24	1
31	[4Z087C9F]	102.154.217.239	8980	21	1
32	[J28OFA2H]	102.239.241.161	9321	24	3
33	[BO2CMQNQ]	102.239.241.161	9321	10	1
34	[VBDOGLMB]	102.239.241.161	9321	23	1
35	[OIVU3VM9]	102.61.237.171	9224	21	1
36	[AAXSS1C9]	103.14.199.17	8822	15	1
37	[JY0WKJE3]	103.14.199.17	8822	11	5
38	[1KIPKDVE]	103.48.76.45	9291	22	4
39	[866ROPFH]	104.128.177.110	9317	14	1
40	[3H0NLAGM]	104.128.177.110	9317	19	5
41	[3P7NYNGW]	104.32.242.38	8855	10	2
42	[XWCSPKKW]	105.116.89.96	9076	21	1
43	[25WX73LU]	105.232.19.102	8880	5	2
44	[43YET28F]	106.105.59.67	9398	4	1
45	[3NNP4WYO]	106.224.94.127	9631	24	1
46	[ZFDN90J7]	106.32.135.104	8750	12	2
47	[78J77WVI]	106.32.135.104	8750	2	2
48	[DM36BMBN]	106.32.135.104	8750	3	1
49	[7H6THIOO]	106.32.135.104	9754	19	2
50	[YHBAYXAJ]	106.32.135.104	9754	21	2
51	[X9I6PGYB]	107.10.119.138	8951	21	2
52	[TP1T53CK]	107.106.172.109	8913	20	1
53	[2I3SSU1R]	107.160.105.41	8935	10	1
54	[I06H8TLY]	107.160.105.41	9586	21	2
55	[FNETS0UK]	107.183.163.124	8846	20	1
56	[KB0YW569]	107.53.209.88	9277	15	3
57	[IMIRES9X]	109.158.8.250	9109	13	1
58	[J96D7BZ9]	109.170.121.182	9662	9	1
59	[PVFZMA0S]	109.170.121.182	9662	4	1
60	[D7TUJGPN]	109.170.121.182	9662	13	2
61	[A7Z7QJ0W]	109.177.40.221	9553	14	3
62	[90G0B340]	109.177.40.221	9731	13	2
63	[KM1H54TM]	109.177.40.221	9731	16	2
64	[5TB1IQTR]	109.189.136.134	9598	12	2
