id	Category	Goods
1	fresh_fish	crucian
2	fresh_fish	tuna
3	fresh_fish	salmon
4	fresh_fish	codfish
5	fresh_fish	marlene
6	fresh_fish	herring
7	fresh_fish	smelt
8	frozen_fish	shark
9	frozen_fish	eel
10	frozen_fish	salmon
11	frozen_fish	peljad
12	frozen_fish	pike
13	frozen_fish	carp
14	semi_manufactures	crab_meat
15	semi_manufactures	squid_rings
16	semi_manufactures	salmon_cutlet
17	semi_manufactures	soup_set
18	semi_manufactures	stuffing_eel
19	canned_food	sprats
20	canned_food	midii
21	canned_food	pate_of_tuna
22	caviar	black_caviar
23	caviar	red_caviar
24	caviar	squash_caviar
