id	Code	IP	Date	Time	Category
1	[YQ4WUDJV]	121.165.118.201	01.08.2018	0:01:35	None
2	[E522JAEQ]	121.165.118.201	01.08.2018	0:01:47	fresh_fish
3	[BHWP66G8]	121.165.118.201	01.08.2018	0:03:02	None
4	[C0182Y6W]	121.165.118.201	01.08.2018	0:04:27	canned_food
5	[OJKTKNP6]	121.165.118.201	01.08.2018	0:05:55	None
6	[GQY4K4H9]	121.165.118.201	01.08.2018	0:07:25	semi_manufactures
7	[ENZOWBC9]	121.165.118.201	01.08.2018	0:07:54	canned_food
8	[7OEXWZ78]	121.165.118.201	01.08.2018	0:08:58	semi_manufactures
9	[7O3F31OB]	121.165.118.201	01.08.2018	0:10:35	fresh_fish
10	[9Q9QAU1V]	121.165.118.201	01.08.2018	0:11:00	semi_manufactures
11	[0MXU21OC]	121.165.118.201	01.08.2018	0:12:35	None
12	[98Z2ZRCR]	121.165.118.201	01.08.2018	0:14:11	canned_food
13	[K8BLV9XL]	121.165.118.201	01.08.2018	0:15:43	canned_food
14	[SYA178QE]	121.165.118.201	01.08.2018	0:17:12	canned_food
15	[XL5AKYA9]	121.165.118.201	01.08.2018	0:18:17	canned_food
16	[MMPGBGZB]	121.165.118.201	01.08.2018	0:19:41	canned_food
17	[Y1VA17SB]	121.165.118.201	01.08.2018	0:20:26	canned_food
18	[QD4B5VWV]	121.165.118.201	01.08.2018	0:21:37	semi_manufactures
19	[JH2ZSEYW]	121.165.118.201	01.08.2018	0:22:37	caviar
20	[VKC0S1HU]	121.165.118.201	01.08.2018	0:23:01	caviar
21	[4FGK0NNQ]	121.165.118.201	01.08.2018	0:23:09	semi_manufactures
22	[LG4GJR2C]	121.165.118.201	01.08.2018	0:24:33	frozen_fish
23	[PD6PS99K]	121.165.118.201	01.08.2018	0:26:04	frozen_fish
24	[HGD3166T]	121.165.118.201	01.08.2018	0:26:31	frozen_fish
25	[8Z3X8HQ5]	121.165.118.201	01.08.2018	0:28:02	frozen_fish
26	[OOZLQWZC]	121.165.118.201	01.08.2018	0:28:36	cart
27	[S0H941IO]	121.165.118.201	01.08.2018	0:29:08	frozen_fish
28	[V8XOAVDK]	121.165.118.201	01.08.2018	0:29:08	pay
29	[7WONILXM]	121.165.118.201	01.08.2018	0:29:08	success_pay_8642
30	[V258B10W]	217.89.121.82	01.08.2018	0:29:56	semi_manufactures
